run_path,experiment_id,status,epistemic_status,precision,seed,runtime_seconds,closure_leakage
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T112150Z-a36e269b3c99,finite_ternary_v1,FAILED_RUNTIME,,,,9.543110299971886,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T112231Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.9309891000157222,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T113505Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,5.595158600015566,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T113528Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,1.9415614000172354,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T113627Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.193632800015621,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T113842Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,4.771945199987385,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T113951Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,5.234690400015097,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T114017Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.0513618000550196,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T114023Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,3.087289899995085,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
C:/Documents/metamaths/seion-math-core/artifacts/runs/certification/finite_ternary_v1/20260729T114030Z-a36e269b3c99,finite_ternary_v1,COMPLETE,numerically_verified,float64,42,2.432908300019335,"{""closure_minimizing_empirical"": 0.12640160331109038, ""known_invariant"": 0.0, ""pca"": 0.5835434815366937, ""random"": 0.35031370595792083}"
